Word,Tooltip Tip,Glossary Link,File Name
Text,Explanation,/docs/glossary?term=Term,CLAUDE.md
Term,Definition,/docs/glossary?term=TermName,CLAUDE.md
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/releases.mdx
ID Token,"ID Token: Credential meant for the client itself, rather than for accessing a resource.",/docs/glossary?term=ID+Token,docs/releases.mdx
multi-factor authentication,Multi-factor authentication (MFA): User authentication process that uses a factor in addition to username and password such as a code via SMS.,/docs/glossary?term=multi-factor+authentication,docs/releases.mdx
access tokens,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=access+tokens,docs/fine-grained-m2m-token-quotas.mdx
session cookie,"Session Cookie: Entity that, when present, allows the user to be considered authenticated.",/docs/glossary?term=session+cookie,docs/manage-users/sessions.mdx
authorization flows,Authorization Flow: Authorization grant (or workflow) specified in the OAuth 2.0 framework.,/docs/glossary?term=authorization+flows,docs/manage-users/sessions.mdx
OpenID,OpenID: Open standard for authentication that allows applications to verify users,/docs/glossary?term=OpenID,docs/manage-users/sessions.mdx
authorization server,"Authorization Server: Centralized server that contributes to defining the boundaries of a user’s access. For example, your authorization server can control the data, tasks, and features available to a user.",/docs/glossary?term=authorization+server,docs/manage-users/sessions.mdx
identity provider,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+provider,docs/manage-users/sessions.mdx
SSO,"Single Sign-On (SSO): Service that, after a user logs into one applicaton, automatically logs that user in to other applications.",/docs/glossary?term=SSO,docs/manage-users/sessions.mdx
access token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=access+token,docs/manage-users/sessions.mdx
identity providers,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+providers,docs/manage-users/user-accounts.mdx
SAML,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=SAML,docs/manage-users/user-accounts.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-migration.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/my-account-api.mdx
access token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=access+token,docs/manage-users/my-account-api.mdx
Universal Login,"Universal Login: Your application redirects to Universal Login, hosted on Auth0",N/A,docs/manage-users/my-account-api.mdx
audience,"Audience: Unique identifier of the audience for an issued token. Named aud in a token, its value contains the ID of either an application (Client ID) for an ID Token or an API (API Identifier) for an Access Token.",/docs/glossary?term=audience,docs/manage-users/my-account-api.mdx
IdP,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=IdP,docs/manage-users/organizations/organizations-overview.mdx
Universal Login,"Universal Login: Your application redirects to Universal Login, hosted on Auth0",N/A,docs/manage-users/organizations/organizations-overview.mdx
Resource Owner,Web Service Federation (WS-Fed): Protocol for managing user identities across domains.,/docs/glossary?term=Resource+Owner,docs/manage-users/organizations/organizations-overview.mdx
Authorization Flow,Resource Owner: Entity (such as a user or application) capable of granting access to a protected resource.,/docs/glossary?term=Authorization+Flow,docs/manage-users/organizations/organizations-overview.mdx
WS-Fed,Authorization Flow: Authorization grant (or workflow) specified in the OAuth 2.0 framework.,/docs/glossary?term=WS-Fed,docs/manage-users/organizations/organizations-overview.mdx
Universal Login,"Universal Login: Your application redirects to Universal Login, hosted on Auth0",N/A,docs/manage-users/organizations/create-first-organization.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/organizations/create-first-organization.mdx
Auth0 Dashboard,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Auth0+Dashboard,docs/manage-users/organizations/create-first-organization.mdx
access tokens,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=access+tokens,docs/manage-users/organizations/using-tokens.mdx
JSON Web Tokens,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=JSON+Web+Tokens,docs/manage-users/organizations/using-tokens.mdx
ID token,"ID Token: Credential meant for the client itself, rather than for accessing a resource.",/docs/glossary?term=ID+token,docs/manage-users/organizations/using-tokens.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/login-flows-for-organizations.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/organizations/login-flows-for-organizations.mdx
identity provider,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+provider,docs/manage-users/organizations/login-flows-for-organizations.mdx
Single Sign-On,"Single Sign-On (SSO): Service that, after a user logs into one applicaton, automatically logs that user in to other applications.",/docs/glossary?term=Single+Sign-On,docs/manage-users/organizations/custom-development.mdx
ID token,"ID Token: Credential meant for the client itself, rather than for accessing a resource.",/docs/glossary?term=ID+token,docs/manage-users/organizations/custom-development.mdx
audience,"Audience: Unique identifier of the audience for an issued token. Named aud in a token, its value contains the ID of either an application (Client ID) for an ID Token or an API (API Identifier) for an Access Token.",/docs/glossary?term=audience,docs/manage-users/organizations/custom-development.mdx
access token,"Audience: Unique identifier of the audience for an issued token. Named aud in a token, its value contains the ID of either an application (Client ID) for an ID Token or an API (API Identifier) for an Access Token.",/docs/glossary?term=access+token,docs/manage-users/organizations/custom-development.mdx
JWT,JSON Web Token (JWT): Standard ID Token format (and often Access Token format) used to represent claims securely between two parties.,/docs/glossary?term=JWT,docs/manage-users/organizations/custom-development.mdx
